pt_root_id,256465,294539,294510,294583,292685,222998,294657,DTC,ITC,L2,L3,L4,L5ET,L5NP,L5,L6,PTC,STC,pt_position_y,cell_type
864691136143786292,1,1,0,0,5,0,0,34,50,1403,154,16,24,5,17,6,35,45,407.296,DTC
864691135940881830,0,0,0,0,0,1,0,15,22,1219,45,1,22,0,3,7,19,79,439.168,DTC
864691135383669466,0,0,0,0,4,1,0,68,138,3989,597,37,61,7,13,41,60,51,441.152,DTC
864691135740717716,1,0,0,0,4,0,0,101,12,19,83,118,341,1,172,396,94,0,465.664,DTC
864691135323181212,0,0,0,0,0,1,0,20,27,1103,22,1,20,1,1,9,19,37,475.84,DTC
864691135660772080,1,0,0,0,0,0,0,37,78,741,33,4,16,2,5,18,12,53,494.336,DTC
864691136913261297,1,1,0,0,0,1,0,52,83,1843,85,2,68,2,3,32,42,62,507.84,DTC
864691135953216547,9,1,0,0,4,1,0,105,81,3277,908,70,80,21,23,22,131,25,563.136,DTC
864691135503188917,0,0,2,1,1,0,0,45,190,702,3414,3297,94,4,125,100,310,12,604.608,DTC
864691135273485073,0,0,0,2,0,0,0,87,90,1360,4517,2147,47,10,60,36,490,40,608.896,DTC
864691135772774651,1,4,0,4,0,1,1,87,100,1677,2174,193,35,1,22,32,84,4,613.888,DTC
864691135489264442,1,0,1,1,1,0,1,71,153,1269,2106,461,109,0,49,60,162,10,615.488,DTC
864691135919630768,0,3,0,1,0,0,4,109,204,3653,2835,193,62,1,12,55,109,11,617.28,DTC
864691136237733647,0,0,1,1,0,0,0,68,94,1151,2849,2038,46,11,98,18,335,49,640.448,DTC
864691136389585015,2,3,0,4,1,0,2,45,38,946,1264,388,35,5,49,21,166,27,646.592,DTC
864691137197468481,1,2,2,3,0,0,0,148,229,3212,3225,681,172,3,56,79,138,11,700.288,DTC
864691135561699041,0,0,0,0,1,1,0,46,83,1055,385,130,67,12,72,17,92,23,724.736,DTC
864691135408247241,0,0,0,0,0,1,0,34,48,224,716,788,39,2,82,28,136,2,735.424,DTC
864691135571546917,1,1,0,2,0,0,0,76,61,132,463,1298,103,5,314,94,247,1,752.128,DTC
864691136602069713,0,1,0,0,1,1,0,46,41,708,385,264,173,9,174,39,106,15,752.448,DTC
864691135575425822,0,0,0,0,1,0,0,62,44,695,261,552,57,0,392,50,61,49,755.136,DTC
864691135725448619,0,0,0,1,0,0,0,127,106,153,2059,4817,62,5,244,89,495,7,769.28,DTC
864691136012619939,2,1,0,1,3,0,0,116,248,2459,2510,1139,311,16,181,161,187,33,774.848,DTC
864691135572082925,0,0,0,0,0,0,1,170,75,153,1125,5342,127,4,550,246,468,12,797.952,DTC
864691135511861968,0,0,0,1,0,1,0,97,48,893,154,74,1536,14,204,136,143,17,815.168,DTC
864691135849279070,0,0,0,1,0,0,0,22,53,439,593,213,220,2,61,163,24,1,819.968,DTC
864691136273370302,0,1,0,0,0,0,0,22,7,1,3,10,114,26,72,337,77,0,824.448,DTC
864691136238652476,0,1,0,0,0,0,0,44,35,453,111,59,511,2,129,104,37,2,851.2,DTC
864691136578765076,0,0,0,1,0,1,0,41,37,614,399,66,565,1,47,123,40,2,862.656,DTC
864691135374904776,0,0,0,1,0,0,0,47,37,448,349,86,564,3,61,251,79,2,862.656,DTC
864691136195284556,0,0,0,1,0,0,0,132,96,1224,296,95,1578,0,178,455,144,4,869.888,DTC
864691135292201142,0,1,0,0,0,0,0,13,8,0,0,0,2,0,4,660,7,0,901.12,DTC
864691135509890057,0,0,0,0,0,0,1,50,123,253,587,852,103,32,104,1526,90,4,942.912,DTC
864691135568328684,1,0,0,0,0,1,0,42,18,2152,21,9,7,2,1,8,64,41,456.576,PTC
864691135661637872,0,1,0,0,0,1,0,110,30,2691,390,67,173,0,65,30,182,8,479.616,PTC
864691136005322698,2,1,0,0,2,1,0,72,17,1441,132,14,27,0,12,10,91,2,488.512,PTC
864691135527145819,1,1,0,0,1,2,0,110,35,3772,540,67,497,1,88,98,332,7,492.544,PTC
864691136662432990,3,1,0,0,4,2,1,70,71,4079,1006,237,176,1,106,60,302,21,527.296,PTC
864691135568797676,4,0,0,2,0,0,0,10,30,841,1747,123,3,1,2,5,149,0,527.488,PTC
864691135490940135,0,5,0,5,2,0,0,125,24,1628,1915,326,303,1,99,243,426,2,540.8,PTC
864691135101289504,0,0,1,0,0,0,1,55,41,1763,2607,973,130,4,90,59,376,4,547.712,PTC
864691136210699964,0,0,0,1,1,1,1,66,22,2585,630,158,255,1,154,53,232,12,557.248,PTC
864691136311213914,0,0,0,0,2,0,1,82,36,2774,2017,309,171,1,81,76,421,3,577.344,PTC
864691135808631069,1,1,0,0,0,0,0,57,23,884,469,125,68,0,71,152,92,8,580.48,PTC
864691135396580129,0,3,2,0,0,1,0,54,34,1152,2569,876,67,1,76,32,311,0,596.928,PTC
864691135688166624,0,2,0,2,0,0,0,40,14,53,1198,2143,29,1,40,18,180,1,606.848,PTC
864691135865240702,0,2,2,1,0,0,4,77,60,1183,3598,980,181,3,74,145,560,19,611.328,PTC
864691135562001633,0,1,0,1,0,0,0,116,142,3132,3767,693,83,0,27,79,291,19,635.904,PTC
864691136106568409,0,0,2,7,0,0,0,49,36,488,1887,689,109,1,78,121,259,2,641.344,PTC
864691135367305465,0,0,0,0,0,0,2,35,39,189,2679,1692,41,1,72,88,281,0,644.48,PTC
864691135082840567,0,0,1,1,0,0,0,66,24,445,1592,823,64,0,82,11,197,1,661.248,PTC
864691135386650965,0,0,0,1,0,0,0,68,9,751,1745,735,154,4,144,26,293,3,677.184,PTC
864691135430148912,0,1,0,0,1,0,1,147,9,1034,881,312,660,1,405,95,340,1,709.568,PTC
864691135561619681,0,1,0,0,0,0,0,88,6,1,119,1706,70,0,182,16,113,0,731.264,PTC
