pt_root_id,256465,294539,294510,294583,292685,222998,294657,DTC,ITC,L2,L3,L4,L5ET,L5NP,L5,L6,PTC,STC,pt_position_y,cell_type
864691136362878690,2,1,0,0,0,1,0,128,20,217,1238,2762,80,0,312,32,388,0,737.6,PTC
864691135394307317,1,1,0,0,0,0,0,151,45,1268,638,363,1098,5,600,301,576,2,756.672,PTC
864691135502190941,0,0,0,0,0,1,0,167,1,148,51,61,1026,6,305,417,239,0,776.896,PTC
864691135700757026,0,0,0,2,0,0,0,50,3,0,0,240,229,26,462,147,43,0,794.752,PTC
864691135865971164,0,1,0,0,0,0,0,189,4,9,57,103,968,8,473,250,397,0,803.136,PTC
864691135947023969,0,1,0,0,0,0,1,145,4,109,129,69,1158,19,504,186,369,1,816.896,PTC
864691135495529360,0,0,0,1,0,0,0,73,3,0,1,27,251,4,276,726,104,0,830.976,PTC
864691136966961614,0,0,0,0,0,0,3,86,1,46,25,68,1745,3,764,318,339,0,834.432,PTC
864691136052101363,1,0,0,1,0,0,0,4,1,1,12,25,27,0,48,762,57,0,850.176,PTC
864691134948652540,0,0,0,0,0,1,0,53,6,0,6,63,342,29,677,114,103,0,867.776,PTC
864691135640274491,0,0,0,1,0,0,0,330,3,2,2,19,978,13,133,75,117,0,868.544,PTC
864691135503004765,0,0,0,0,2,0,0,38,19,53,29,12,4,0,7,13,222,28,472.768,ITC
864691135565849111,0,0,0,0,0,1,0,108,33,3,5,12,8,0,3,3,17,4,473.408,ITC
864691135214160184,0,0,0,0,1,0,0,215,8,1,6,23,5,0,9,3,20,1,502.528,ITC
864691136912943345,0,0,0,0,0,1,1,294,14,8,44,3,7,0,3,46,33,0,508.352,ITC
864691135995711402,0,0,0,0,1,0,0,60,22,37,39,32,8,0,14,24,402,25,521.856,ITC
864691135577956101,0,0,0,1,0,0,0,200,8,0,23,9,0,0,1,2,34,0,534.656,ITC
864691135566089495,0,2,0,0,0,0,0,199,21,1,8,11,1,1,3,4,45,7,639.424,ITC
864691135359413848,1,0,0,0,0,0,0,101,23,4,20,42,3,0,28,5,56,0,660.416,ITC
864691135754773709,0,2,1,0,0,0,0,140,26,0,3,28,28,4,42,46,109,0,685.44,ITC
864691135865975260,0,0,0,0,1,0,0,35,3,0,3,17,32,1,24,62,309,0,757.632,ITC
864691135988854016,1,0,0,0,0,0,0,8,24,38,43,19,51,2,2,8,1,6,371.008,STC
864691135270780837,0,0,0,0,1,0,0,10,42,153,215,115,97,2,46,56,8,12,456.896,STC
864691135491529311,0,0,0,1,0,0,0,7,11,346,122,20,27,2,16,19,18,6,483.776,STC
